_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,annotation,broken_link,annotation_gold,broken_link_gold,cell_type,image_url,set_number
1521829224,1/4/2018 08:40:44,3222457661,1/4/2018 08:12:58,false,test_rprocess,1.0,43853850,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43853850/u0091020035048024091011027199179213039155237117076185203064035017042141202242211249117172237233074.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_0.png,set6
1521829225,1/4/2018 06:32:07,3222240324,1/4/2018 06:24:29,false,test_rprocess,1.0,43936123,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43936123/u0042142072176062047142116112200130190127188172233255147177084153016084094075074138209228100235030.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_1.png,set6
1521829226,1/4/2018 04:19:21,3221949310,1/4/2018 03:54:01,false,test_rprocess,1.0,43853850,IND,"","",27.34.243.242,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43853850/u0222196095211237010164134167070092104128086207167078135013071153155079148034150081231011132171035.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_2.png,set6
1521829227,1/4/2018 09:55:32,3222582334,1/4/2018 09:31:07,false,test_rprocess,1.0,43838813,IND,19,Mysore,103.2.232.50,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43838813/u0227072182214098060212188125242195135144162034005110149000063083249002118051037011210037141208093.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_3.png,set6
1521829228,1/4/2018 10:18:52,3222622995,1/4/2018 09:50:40,false,test_rprocess,1.0,43913102,IND,"","",27.34.243.242,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43913102/u0148002028247157196191160246062025076062183095019036059158197240057089243034092143168148003117065.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_4.png,set6
1521829229,1/3/2018 11:57:30,3219163006,1/3/2018 11:29:50,false,test_rprocess,1.0,43936123,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43936123/u0155094171138184048000149183039208011067186214181204237178020175210251240028121084081195140072041.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_5.png,set6
1521829230,1/4/2018 10:05:19,3222598337,1/4/2018 09:45:58,false,test_rprocess,1.0,43913100,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43913100/u0153164065073117087001137086127053183101079191024092007144088118098069133097099032056032122072184.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_6.png,set6
1521829231,1/4/2018 03:47:55,3221868127,1/4/2018 03:36:25,false,test_rprocess,1.0,43936123,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43936123/u0251009098205027228027134015017063216133004198122082150166018193173089237153201057227147224153222.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_7.png,set6
1521829232,1/4/2018 05:29:33,3222103484,1/4/2018 05:01:47,false,test_rprocess,1.0,43853850,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43853850/u0053025201130057244093064095033058082129000005048130227140041042043064044010021222086069186096033.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_8.png,set6
1521829233,1/2/2018 05:55:47,3215373296,1/2/2018 05:55:20,false,test_rprocess,1.0,43853850,IND,"","",27.34.243.242,,true,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_9.png,set6
1521829234,1/4/2018 04:33:15,3221981480,1/4/2018 04:23:05,false,test_rprocess,1.0,43913102,IND,"","",27.34.243.242,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43913102/u0018055059160149126142208087007199254100168002083065123171115027069011143183031133252086036045148.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_10.png,set6
1521829235,1/4/2018 07:07:59,3222303639,1/4/2018 07:02:47,false,test_rprocess,1.0,43936123,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43936123/u0096193145022127140177203022161161148108011188196004007152014067226018050123004205241218009127146.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_11.png,set6
1521829236,1/4/2018 08:36:38,3222450037,1/4/2018 08:09:20,false,test_rprocess,1.0,43838813,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43838813/u0243060013028151011084100091013141004105142029243128237151024066230253251254070230152061169092107.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_12.png,set6
1521829237,1/4/2018 09:56:53,3222584463,1/4/2018 09:38:27,false,test_rprocess,1.0,43936123,IND,19,Mysore,103.2.232.50,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43936123/u0208074024015173002074226106121091132251188170093014185044139199049245139242191129018025240221167.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_13.png,set6
1521829238,1/4/2018 10:20:25,3222625585,1/4/2018 10:06:43,false,test_rprocess,1.0,43853850,IND,"","",27.34.243.242,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43853850/u0122220065181082124013022208132235070133242192105162097247192081124151094001005209152209126142251.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_14.png,set6
1521829239,1/4/2018 10:15:14,3222616431,1/4/2018 09:55:36,false,test_rprocess,1.0,43838813,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43838813/u0110194114127244195067057208005021240248027077045063001169210079228250051028177189167016051061041.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_15.png,set6
1521829240,1/4/2018 10:32:26,3222648265,1/4/2018 10:10:25,false,test_rprocess,1.0,43922202,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43922202/u0051148214251163115035160027091208217012128001222040085172252019027058104197194207071240067148161.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_16.png,set6
1521829241,1/4/2018 08:50:29,3222477496,1/4/2018 08:36:58,false,test_rprocess,1.0,43913102,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43913102/u0160116051021178047024145170165128119187245100172089074098183151075058067199135122022194151070167.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_17.png,set6
1521829242,1/4/2018 05:59:31,3222170544,1/4/2018 05:33:47,false,test_rprocess,1.0,43922202,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43922202/u0083053098147152242082112019094041179110177235196189236012036080141197113027076018047238251065017.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_18.png,set6
1521829243,1/4/2018 09:43:09,3222566226,1/4/2018 09:24:37,false,test_rprocess,1.0,43922202,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43922202/u0229069231204152047235165249051073074195152069115193252054137020246228176148035069186072204176151.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_19.png,set6
1521829244,1/4/2018 04:34:10,3221983457,1/4/2018 04:19:04,false,test_rprocess,1.0,43936123,IND,"","",27.34.243.242,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43936123/u0175195159139067169095008251223057075084016050095053090122183018117039198114245141026148184163073.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_20.png,set6
1521829245,1/4/2018 10:29:06,3222641740,1/4/2018 10:07:03,false,test_rprocess,1.0,43913100,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43913100/u0052134252154170176242250133010157194100182120187134148050122147143033052209133160237041175127231.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_21.png,set6
1521829246,1/4/2018 10:03:18,3222594988,1/4/2018 09:42:04,false,test_rprocess,1.0,43913098,IND,"","",27.34.243.242,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43913098/u0031142003113086160085043134078042095114124136163066248213129213200039041050186203230218100075204.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_22.png,set6
1521829247,1/4/2018 05:54:14,3222158842,1/4/2018 05:53:42,false,test_rprocess,1.0,43936123,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43936123/u0012160211021077073212210033179200009249000036011135102010014084129174190239056215009162143117127.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_23.png,set6
1521829248,1/4/2018 10:23:02,3222630302,1/4/2018 10:03:22,false,test_rprocess,1.0,43913098,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43913098/u0125210125167064041111194185215059118104202072152014125086075190201013085138140017191157213054137.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_24.png,set6
1521829249,1/4/2018 09:31:02,3222547923,1/4/2018 09:06:51,false,test_rprocess,1.0,43838813,IND,"","",27.34.243.242,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43838813/u0106109228187118169028002013046003083116215130002010027005013218235129123105121075212046112173055.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_25.png,set6
1521829250,1/3/2018 10:37:50,3219028673,1/3/2018 10:37:03,false,test_rprocess,1.0,43936123,IND,19,Kushalnagar,103.35.197.63,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43936123/u0072227081112250031083030227071117104002155066225180244124177097102144040048158033086053092179105.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_26.png,set6
1521829251,1/4/2018 09:42:00,3222564444,1/4/2018 09:22:19,false,test_rprocess,1.0,43913098,IND,19,Mysore,103.2.232.50,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43913098/u0121051213020026125061059227051156215012214004139201050225131124184194048255044023209056174172088.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_27.png,set6
1521829252,1/4/2018 10:37:05,3222656689,1/4/2018 10:27:06,false,test_rprocess,1.0,43936123,IND,19,Mysore,103.2.232.50,"{""url"":""https://s3.amazonaws.com/pichost/construe/1219156/43936123/u0053009200249175252230205187007173213113158240196067201058093093075085003061135148114192245124005.png""}",false,,,RAW264.7,https://storage.googleapis.com/daves-new-bucket/data/nuclear/RAW264.7/set6/Processed/nuclear_28.png,set6
